,Tool,ID,Description,IaC,Provider,Severity,Query Document,Related Document
1564,KICS,07f7134f-9f37-476e-8664-670c218e4702,PostgreSQL Log Disconnections Not Set,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_configuration,https://docs.kics.io/latest/queries/terraform-queries/azure/07f7134f-9f37-476e-8664-670c218e4702
1565,KICS,16e0879a-c4ae-4ff8-a67d-a2eed5d67b8f,PostgreSQL Log Duration Not Set,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_configuration,https://docs.kics.io/latest/queries/terraform-queries/azure/16e0879a-c4ae-4ff8-a67d-a2eed5d67b8f
1566,KICS,2b3c671f-1b76-4741-8789-ed1fe0785dc4,PostgreSQL Server Without Connection Throttling,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_configuration,https://docs.kics.io/latest/queries/terraform-queries/azure/2b3c671f-1b76-4741-8789-ed1fe0785dc4
1567,KICS,f7e296b0-6660-4bc5-8f87-22ac4a815edf,SQL Server Auditing Disabled,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/sql_server,https://docs.kics.io/latest/queries/terraform-queries/azure/f7e296b0-6660-4bc5-8f87-22ac4a815edf
1568,KICS,38c71c00-c177-4cd7-8d36-cd1007cdb190,Vault Auditing Disabled,Terraform,Azure,Medium,https://www.terraform.io/docs/providers/azurerm/r/key_vault.html,https://docs.kics.io/latest/queries/terraform-queries/azure/38c71c00-c177-4cd7-8d36-cd1007cdb190
1569,KICS,c407c3cf-c409-4b29-b590-db5f4138d332,PostgreSQL Server Threat Detection Policy Disabled,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_server#threat_detection_policy,https://docs.kics.io/latest/queries/terraform-queries/azure/c407c3cf-c409-4b29-b590-db5f4138d332
1570,KICS,83a229ba-483e-47c6-8db7-dc96969bce5a,SQL Database Audit Disabled,Terraform,Azure,Medium,https://www.terraform.io/docs/providers/azurerm/r/sql_database.html,https://docs.kics.io/latest/queries/terraform-queries/azure/83a229ba-483e-47c6-8db7-dc96969bce5a
1571,KICS,4d080822-5ee2-49a4-8984-68f3d4c890fc,Key Expiration Not Set,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/key_vault_key,https://docs.kics.io/latest/queries/terraform-queries/azure/4d080822-5ee2-49a4-8984-68f3d4c890fc
1572,KICS,dfa20ffa-f476-428f-a490-424b41e91c7f,Secret Expiration Not Set,Terraform,Azure,Medium,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/key_vault_secret,https://docs.kics.io/latest/queries/terraform-queries/azure/dfa20ffa-f476-428f-a490-424b41e91c7f
1573,KICS,a21c8da9-41bf-40cf-941d-330cf0d11fc7,Azure Active Directory Authentication,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/service_fabric_cluster#tenant_id,https://docs.kics.io/latest/queries/terraform-queries/azure/a21c8da9-41bf-40cf-941d-330cf0d11fc7
1574,KICS,b4cc2c52-34a6-4b43-b57c-4bdeb4514a5a,Virtual Network with DDoS Protection Plan disabled,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/virtual_network#ddos_protection_plan,https://docs.kics.io/latest/queries/terraform-queries/azure/b4cc2c52-34a6-4b43-b57c-4bdeb4514a5a
1575,KICS,8b042c30-e441-453f-b162-7696982ebc58,Geo Redundancy Is Disabled,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_server,https://docs.kics.io/latest/queries/terraform-queries/azure/8b042c30-e441-453f-b162-7696982ebc58
1576,KICS,0a70d5f3-1ecd-4c8e-9292-928fc9a8c4f1,MariaDB Server Geo-redundant Backup Disabled,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mariadb_server#geo_redundant_backup_enabled,https://docs.kics.io/latest/queries/terraform-queries/azure/0a70d5f3-1ecd-4c8e-9292-928fc9a8c4f1
1577,KICS,43789711-161b-4708-b5bb-9d1c626f7492,AKS Uses Azure Policies Add-On Disabled,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/kubernetes_cluster#azure_policy,https://docs.kics.io/latest/queries/terraform-queries/azure/43789711-161b-4708-b5bb-9d1c626f7492
1578,KICS,96fe318e-d631-4156-99fa-9080d57280ae,App Service Without Latest PHP Version,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_service#php_version,https://docs.kics.io/latest/queries/terraform-queries/azure/96fe318e-d631-4156-99fa-9080d57280ae
1579,KICS,cc4aaa9d-1070-461a-b519-04e00f42db8a,App Service Without Latest Python Version,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/app_service#python_version,https://docs.kics.io/latest/queries/terraform-queries/azure/cc4aaa9d-1070-461a-b519-04e00f42db8a
1580,KICS,bcd3fc01-5902-4f2a-b05a-227f9bbf5450,SQL Server Predictable Active Directory Account Name,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/sql_active_directory_administrator,https://docs.kics.io/latest/queries/terraform-queries/azure/bcd3fc01-5902-4f2a-b05a-227f9bbf5450
1581,KICS,2ab6de9a-0136-415c-be92-79d2e4fd750f,SQL Server Predictable Admin Account Name,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/sql_server,https://docs.kics.io/latest/queries/terraform-queries/azure/2ab6de9a-0136-415c-be92-79d2e4fd750f
1582,KICS,56dad03e-e94f-4dd6-93a4-c253a03ff7a0,Cosmos DB Account Without Tags,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/cosmosdb_account,https://docs.kics.io/latest/queries/terraform-queries/azure/56dad03e-e94f-4dd6-93a4-c253a03ff7a0
1583,KICS,b17d8bb8-4c08-4785-867e-cb9e62a622aa,AKS Disk Encryption Set ID Undefined,Terraform,Azure,Low,https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/kubernetes_cluster#disk_encryption_set_id,https://docs.kics.io/latest/queries/terraform-queries/azure/b17d8bb8-4c08-4785-867e-cb9e62a622aa
