Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
Checkov,CKV_ANSIBLE_3,Ensure that certificate validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumValidateCerts.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumValidateCerts.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
Checkov,CKV_ANSIBLE_4,Ensure that SSL validation isn't disabled with yum,NaN,Ansible,NaN,Ansible,NaN,[YumSslVerify.py](https://github.com/bridgecrewio/checkov/blob/main/checkov/ansible/checks/task/builtin/YumSslVerify.py),NaN
