Tool,ID,Title,Description,IaC,Category,Provider,Severity,Query Document,Related Document
KICS,f81d63d2-c5d7-43a4-a5b5-66717a41c895,ALB Listening on HTTP,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/f81d63d2-c5d7-43a4-a5b5-66717a41c895,https://docs.ansible.com/ansible/latest/collections/community/aws/elb_application_lb_module.html
KICS,559439b2-3e9c-4739-ac46-17e3b24ec215,API Gateway Endpoint Config is Not Private,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/559439b2-3e9c-4739-ac46-17e3b24ec215,https://docs.ansible.com/ansible/latest/collections/community/aws/aws_api_gateway_module.html
KICS,f5f38943-664b-4acc-ab11-f292fa10ed0b,API Gateway without WAF,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/f5f38943-664b-4acc-ab11-f292fa10ed0b,https://docs.ansible.com/ansible/latest/collections/community/aws/wafv2_resources_module.html#parameter-arn
KICS,22c80725-e390-4055-8d14-a872230f6607,CloudFront Without WAF,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/22c80725-e390-4055-8d14-a872230f6607,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudfront_distribution_module.html
KICS,a8b0c58b-cd25-4b53-9ad0-55bca0be0bc1,EC2 Instance Has Public IP,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/a8b0c58b-cd25-4b53-9ad0-55bca0be0bc1,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_module.html#parameter-assign_public_ip
KICS,d6c2d06f-43c1-488a-9ba1-8d75b40fc62d,Elasticsearch with HTTPS disabled,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/d6c2d06f-43c1-488a-9ba1-8d75b40fc62d,https://docs.ansible.com/ansible/devel/collections/community/aws/opensearch_module.html
KICS,a14ad534-acbe-4a8e-9404-2f7e1045646e,HTTP Port Open To Internet,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/a14ad534-acbe-4a8e-9404-2f7e1045646e,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html#ansible-collections-amazon-aws-ec2-group-module
KICS,57ced4b9-6ba4-487b-8843-b65562b90c77,Security Group With Unrestricted Access To SSH,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/57ced4b9-6ba4-487b-8843-b65562b90c77,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,7af1c447-c014-4f05-bd8b-ebe3a15734ac,SQL Analysis Services Port 2383 (TCP) Is Publicly Accessible,NaN,Ansible,Networking and Firewall,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/7af1c447-c014-4f05-bd8b-ebe3a15734ac,https://docs.ansible.com/ansible/latest/collections/amazon/aws/ec2_group_module.html
KICS,72a931c2-12f5-40d1-93cc-47bff2f7aa2a,API Gateway With CloudWatch Logging Disabled,NaN,Ansible,Observability,AWS,Medium,https://docs.kics.io/latest/queries/ansible-queries/aws/72a931c2-12f5-40d1-93cc-47bff2f7aa2a,https://docs.ansible.com/ansible/latest/collections/community/aws/cloudwatchlogs_log_group_module.html#ansible-collections-community-aws-cloudwatchlogs-log-group-module
